source	target
2833172	37801893
3208389	37801893
3305950	37801893
3557858	37801893
3666772	37801893
3704018	37801893
3704385	37801893
3750780	37801893
5231481	37801893
5300488	37801893
5316929	37801893
5678320	37801893
5755836	37801893
5799530	37801893
5859582	37801893
5870404	37801893
6141034	37801893
6211298	37801893
6235468	37801893
6237300	37801893
6332350	37801893
6514199	37801893
6525918	37801893
6567192	37801893
6567712	37801893
6571655	37801893
6629865	37801893
6633383	37801893
6702443	37801893
6711580	37801893
6725216	37801893
6726162	37801893
6778097	37801893
6794675	37801893
6935645	37801893
6940817	37801893
6982833	37801893
7027871	37801893
10096946	37801893
10162467	37801893
10313066	37801893
10433608	37801893
10657702	37801893
10679210	37801893
11139716	37801893
11238085	37801893
11411247	37801893
11492054	37801893
11596102	37801893
11941748	37801893
11962683	37801893
12006130	37801893
12849946	37801893
12953216	37801893
12968445	37801893
13033575	37801893
13221480	37801893
13526010	37801893
13569273	37801893
13622776	37801893
14324704	37801893
15083316	37801893
15083317	37801893
15087444	37801893
15087445	37801893
15184295	37801893
34040319	37801893
34049069	37801893
34091110	37801893
34420582	37801893
34491803	37801893
34626421	37801893
34724771	37801893
34766514	37801893
34766528	37801893
34766535	37801893
34766892	37801893
34766934	37801893
35260504	37801893
35481057	37801893
35774795	37801893
35932343	37801893
35932473	37801893
35932732	37801893
35933587	37801893
35933604	37801893
35934056	37801893
35935060	37801893
35935910	37801893
35937194	37801893
35937439	37801893
35937708	37801893
35937904	37801893
35941223	37801893
35984315	37801893
35985341	37801893
36046129	37801893
36068193	37801893
36072558	37801893
36072603	37801893
36072750	37801893
36073270	37801893
36119548	37801893
36119790	37801893
36120143	37801893
36120466	37801893
36120693	37801893
36120808	37801893
36121165	37801893
36121173	37801893
36121403	37801893
36121611	37801893
36121657	37801893
36121661	37801893
36121866	37801893
36121895	37801893
36136212	37801893
36136505	37801893
36137694	37801893
36138262	37801893
36146524	37801893
36259148	37801893
36268103	37801893
36268332	37801893
36321883	37801893
36323301	37801893
36371344	37801893
37048357	37801893
37052795	37801893
37073763	37801893
37079118	37801893
37094248	37801893
37096340	37801893
37096513	37801893
37097098	37801893
37098360	37801893
37098988	37801893
37099510	37801893
37126021	37801893
37500737	37801893
37505137	37801893
38029535	37801893
38032144	37801893
38140123	37801893
38164555	37801893
38357856	37801893
38358591	37801893
38358698	37801893
38359540	37801893
38369770	37801893
38369912	37801893
38384465	37801893
38772207	37801893
39164141	37801893
43982922	37801893
46350669	37801893
46350813	37801893
47089618	37801893
47594687	37801893
47776838	37801893
48039656	37801893
48707302	37801893
49054547	37801893
49054648	37801893
49054672	37801893
49121821	37801893
50107874	37801893
50119940	37801893
50119941	37801893
50120185	37801893
50403848	37801893
52180188	37801893
52729178	37801893
53373918	37801893
53670806	37801893
55116496	37801893
55927846	37801893
56649496	37801893
57382871	37801893
57407652	37801893
57407666	37801893
57407872	37801893
57407976	37801893
57410058	37801893
57412906	37801893
2798984	2833172
2820179	2833172
2846729	2833172
3146107	2833172
3937186	2833172
5043974	2833172
5475887	2833172
5578310	2833172
5859582	2833172
5983519	2833172
6235468	2833172
6267135	2833172
6329240	2833172
6336119	2833172
6392324	2833172
6494852	2833172
6567192	2833172
6633383	2833172
6652999	2833172
6696283	2833172
6725216	2833172
6754890	2833172
6770389	2833172
6809774	2833172
6811236	2833172
6823312	2833172
6972394	2833172
6975938	2833172
6982833	2833172
7027871	2833172
10069062	2833172
10108426	2833172
10313066	2833172
10657702	2833172
10861435	2833172
11709507	2833172
11903572	2833172
12151068	2833172
12423110	2833172
12783571	2833172
12921622	2833172
12953216	2833172
13079338	2833172
13379879	2833172
14226303	2833172
34090093	2833172
34091110	2833172
34420582	2833172
34489205	2833172
34685162	2833172
34766892	2833172
34766916	2833172
34766956	2833172
34767028	2833172
34767031	2833172
35262255	2833172
35933978	2833172
35934056	2833172
35934564	2833172
35935503	2833172
35937734	2833172
35941631	2833172
35941866	2833172
35941871	2833172
35942010	2833172
35984799	2833172
36046129	2833172
36068363	2833172
36072750	2833172
36119790	2833172
36120143	2833172
36120466	2833172
36120693	2833172
36120706	2833172
36137031	2833172
36137037	2833172
36137401	2833172
36137403	2833172
36138684	2833172
36321883	2833172
36378684	2833172
36470719	2833172
36528492	2833172
37073763	2833172
37078083	2833172
37096366	2833172
37126021	2833172
37505016	2833172
38032144	2833172
38073408	2833172
38076572	2833172
38358591	2833172
38358698	2833172
38369826	2833172
38369924	2833172
38729484	2833172
38772207	2833172
47776838	2833172
48195696	2833172
48637522	2833172
48657009	2833172
49048753	2833172
49054547	2833172
49070998	2833172
49121821	2833172
49998293	2833172
50368471	2833172
52085281	2833172
57407652	2833172
57407666	2833172
57408071	2833172
57409939	2833172
57412906	2833172
2628369	3208389
2798984	3208389
2820179	3208389
2833172	3208389
2846729	3208389
2950431	3208389
3062437	3208389
3146107	3208389
3153438	3208389
3357318	3208389
3557858	3208389
3704385	3208389
3750780	3208389
3780282	3208389
3846188	3208389
3865333	3208389
4997396	3208389
5198724	3208389
5316929	3208389
5331794	3208389
5598158	3208389
5678320	3208389
5859582	3208389
5878808	3208389
6141034	3208389
6235468	3208389
6329240	3208389
6365110	3208389
6383777	3208389
6494852	3208389
6633383	3208389
6657870	3208389
6676246	3208389
6696283	3208389
6725216	3208389
6726162	3208389
6743623	3208389
6754890	3208389
6770389	3208389
6805923	3208389
6807442	3208389
6809774	3208389
6814447	3208389
6939220	3208389
6975938	3208389
7027871	3208389
10067513	3208389
10137455	3208389
10241948	3208389
10313066	3208389
10657702	3208389
10674753	3208389
11156009	3208389
11236878	3208389
