pID	EF	cluster	Year	DomainID	Title
2833172	0.000000475317	12:32:69	2000	4	Chromosomal Addresses of the Cohesin Component Mcd1p
3208389	0.000000760137	12:32:29	1999	4	Identification of Cohesin Association Sites at Centromeres and along Chromosome Arms
3305950	0.000000361977	12:11:204	2001	4	Lack of tension at kinetochores activates the spindle checkpoint in budding yeast
3557858	0.000000377349	12:32:100	2000	4	Pds5 cooperates with cohesin in maintaining sister chromatid cohesion
3666772	0.0000000256758	12:9:1739	2003	4	Regulated Assembly of the Mitotic Spindle: A Perspective from Two Ends
3704018	0.000000213593	12:32:189	2004	4	S-Phase Checkpoint Genes Safeguard High-Fidelity Sister Chromatid Cohesion
3704385	0.000000433947	12:32:78	2001	4	Saccharomyces cerevisiae CTF18 and CTF4 Are Required for Sister Chromatid Cohesion
3750780	0.000000393238	12:32:91	2000	4	Sister chromatid cohesion: the beginning of a long and beautiful relationship
5231481	0.000000166364	12:32:254	2004	4	The mechanism of sister chromatid cohesion
5300488	0.000000149429	28:2:634	2004	4	Mrc1 Is Required for Sister Chromatid Cohesion To Aid in Recombination Repair of Spontaneous Damage
5316929	0.000000224412	12:32:180	2000	4	Review: SMCs in the World of Chromosome Biology— From Prokaryotes to Higher Eukaryotes
5678320	0.0000000417256	12:32:603	2001	4	Time course analysis of precocious separation of sister centromeres in budding yeast: continuously separated or frequently reassociated?
5755836	0.000000219678	12:32:185	2005	4	A Topological Interaction between Cohesin Rings and a Circular Minichromosome
5799530	0.000000115148	2:57:9:20	2001	4	Coupling of Mitotic Chromosome Tethering and Replication Competence in Epstein-Barr Virus-Based Plasmids
5859582	0.0000000157774	12:11:1768	2009	4	Pericentromeric Sister Chromatid Cohesion Promotes Kinetochore Biorientation
5870404	0.000000121785	12:32:331	2005	4	Two Human Orthologues of Eco1/Ctf7 Acetyltransferases Are Both Required for Proper Sister-Chromatid Cohesion
6141034	0.000000111233	12:32:346	2001	4	Cloning and characterization of two Arabidopsis genes that belong to the RAD21/REC8 family of chromosome cohesin proteins
6211298	0.000000220497	28:49:20	2004	4	The PCNA–RFC Families of DNA Clamps and Clamp Loaders
6235468	0.000000257996	12:32:159	2004	4	The Kinetochore Is an Enhancer of Pericentric Cohesin Binding
6237300	0.0000000953913	28:49:68	2005	4	Replication Protein A-Directed Unloading of PCNA by the Ctf18 Cohesion Establishment Complex
6332350	0.0000000605275	12:32:516	2007	4	Genetic Dissection of Parallel Sister-Chromatid Cohesion Pathways
6514199	0.000000170941	12:32:244	2004	4	The ctf13-30/CTF13 Genomic Haploinsufficiency Modifier Screen Identifies the Yeast Chromatin Remodeling Complex RSC, Which Is Required for the Establishment of Sister Chromatid Cohesion
6525918	0.0000000572426	12:32:531	2008	4	The molecular mechanism underlying Roberts syndrome involves loss of ESCO2 acetyltransferase activity
6567192	0.0000000775361	12:32:454	2007	4	Sister chromatid cohesion: the cohesin cleavage model does not ring true
6567712	0.0000000773017	28:2:999	2006	4	DNA damage responses and their many interactions with the replication fork
6571655	0.000000393928	12:2:561	2000	4	A CAF-1-PCNA-Mediated Chromatin Assembly Pathway Triggered by Sensing DNA Damage
6629865	0.0000000590905	28:6:833	2004	4	A Coordinated Temporal Interplay of Nucleosome Reorganization Factor, Sister Chromatin Cohesion Factor, and DNA Polymerase   Facilitates DNA Replication
6633383	0.000000271033	12:32:147	2004	4	Identification of Protein Complexes Required for Efficient Sister Chromatid Cohesion
6702443	0.000000142425	12:32:287	2003	4	Mechanical Link between Cohesion Establishment and DNA Replication: Ctf7p/Eco1p, a Cohesion Establishment Factor, Associates with Three Different Replication Factor C Complexes
6711580	0.0000000156716	12:32:859	2006	4	Characterization of the three Arabidopsis thaliana RAD21 cohesins reveals differential responses to ionizing radiation
6725216	0.0000000728924	12:32:464	2002	4	The 2 micron plasmid purloins the yeast cohesin complex: a mechanism for coupling plasmid partitioning and chromosome segregation?
6726162	0.0000000748983	12:38:489	2003	4	Binding of the Essential Saccharomyces cerevisiae Kinetochore Protein Ndc10p to CDEII
6778097	0.0000000437645	28:49:147	2004	4	The reconstituted human Chl12-RFC complex functions as a second PCNA loader
6794675	0.00000000521163	12:3165:12	2006	4	Cell Cycle-Dependent Regulation of Saccharomyces cerevisiae Donor Preference during Mating-Type Switching by SBF (Swi4/Swi6) and Fkh1
6935645	0.000000100164	12:32:377	1999	4	Hec1p, an Evolutionarily Conserved Coiled-Coil Protein, Modulates Chromosome Segregation through Interaction with SMC Proteins
6940817	0.0000000900836	12:32:406	2001	4	Correct spindle elongation at the metaphase/anaphase transition is an APC-dependent event in budding yeast
6982833	0.0000000641149	12:32:496	2003	4	Saccharomyces cerevisiae DNA Polymerase   and Polymerase   Interact Physically and Functionally, Suggesting a Role for Polymerase   in Sister Chromatid Cohesion
7027871	0.000000057183	12:32:532	2005	4	Unzipped and loaded: the role of DNA helicases and RFC clamp-loading complexes in sister chromatid cohesion
10096946	0.000000115918	28:6:501	0	4	Regulation of Initiation of S Phase, Replication Checkpoint Signaling, and Maintenance of Mitotic Chromosome Structures during S Phase by Hsk1 Kinase in the Fission Yeast
10162467	0.000000949166	28:13:3	2002	5	ERROR-PRONE REPAIR DNA POLYMERASES IN PROKARYOTES AND EUKARYOTES
10313066	0.0000000145478	12:32:875	2007	4	Ctf18 is required for homologous recombination-mediated double-strand break repair
10433608	0.0000000527886	28:6:900	2002	4	mcl1+, the Schizosaccharomyces pombe Homologue of CTF4, Is Important for Chromosome Replication, Cohesion, and Segregation
10657702	0.0000000101168	12:32:956	2008	4	Sister Chromatid Cohesion Role for CDC28-CDK in Saccharomyces cerevisiae
10679210	0.0000000901489	12:32:404	2003	4	Human EFO1p exhibits acetyltransferase activity and is a unique combination of linker histone and Ctf7p/Eco1p chromatid cohesion establishment domains
11238085	0.000000400178	12:32:88	2000	4	Pds5p Is an Essential Chromosomal Protein Required for both Sister Chromatid Cohesion and Condensation in Saccharomyces cerevisiae
11411247	0.0000000810658	12:32:438	2007	4	Increased DNA damage sensitivity of Cornelia de Lange syndrome cells: evidence for impaired recombinational repair
11492054	0.0000000847535	12:32:422	2007	4	Sororin Is Required for Stable Binding of Cohesin to Chromatin and for Sister Chromatid Cohesion in Interphase
11596102	0.000000198291	12:32:209	2003	4	Two Putative Acetyltransferases, San and Deco, Are Required for Establishing Sister Chromatid Cohesion in Drosophila
11941748	0.000000324104	12:32:120	2003	4	ATP Hydrolysis Is Required for Cohesin's Association with Chromosomes
11962683	0.00000000515395	12:23:1612	2009	4	Gene Clusters, Molecular Evolution and Disease: A Speculation
12006130	0.0000000318259	28:540:10	2004	4	Coordinated functions of WSS1, PSY2 and TOF1 in the DNA damage response
12849946	0.0000000281787	12:587:33	2008	4	Mechanisms of Cell Cycle Control Revealed by a Systematic and Quantitative Overexpression Screen in S. cerevisiae
12953216	0.00000000252438	28:9313:1	2009	4	Arabidopsis Separase Functions beyond the Removal of Sister Chromatid Cohesion during Meiosis
12968445	0.000000203037	12:32:198	2003	4	Pds5p regulates the maintenance of sister chromatid cohesion and is sumoylated to promote the dissolution of cohesion
13033575	0.00000003157	28:9:832	2004	5	The Spindle Pole Body Assembly Component Mps3p/Nep98p Functions in Sister Chromatid Cohesion
13221480	0.000000111746	12:32:345	2004	4	Sister-chromatid cohesion mediated by the alternative RF-CCtf18/Dcc1/Ctf8, the helicase Chl1 and the polymerase- -associated protein Ctf4 is essential for chromatid disjunction during meiosis II
13526010	0.00000128936	12:32:7	1999	4	Sister-chromatid separation at anaphase onset is promoted by cleavage of the cohesin subunit Scc1
13569273	0.00000000252438	12:32:1119	2010	4	Both Interaction Surfaces within Cohesin's Hinge Domain Are Essential for Its Stable Chromosomal Association
13622776	0.0000000952492	28:6:603	2000	4	Schizosaccharomyces pombe Hsk1p Is a Potential Cds1p Target Required for Genome Integrity
14324704	0.000000295551	12:32:133	2000	4	Fission Yeast Eso1p Is Required for Establishing Sister Chromatid Cohesion during S Phase
15083316	0.00000025552	12:32:163	2007	4	Postreplicative Formation of Cohesion Is Required for Repair and Induced by a Single DNA Break
15083317	0.000000249858	12:32:165	2007	4	DNA Double-Strand Breaks Trigger Genome-Wide Sister-Chromatid Cohesion Through Eco1 (Ctf7)
15087444	0.000000172943	12:32:240	2008	4	Eco1-Dependent Cohesin Acetylation During Establishment of Sister Chromatid Cohesion
15087445	0.000000158581	12:32:267	2008	4	A Molecular Determinant for the Establishment of Sister Chromatid Cohesion
15184295	0.000000138772	12:32:290	2008	4	Chromatid cohesion defects may underlie chromosome instability in human colorectal cancers
34040319	0.0000000176811	12:32:828	2010	4	The expanding universe of cohesin functions: a new genome stability caretaker involved in human disease and cancer
34049069	0.0000000608802	12:72:274	2006	4	A homozygous frameshift mutation in theESCO2 gene: Evidence of intertissue and interindividual variation in Nmd efficiency
34091110	0.0000000103288	12:32:945	2008	4	Damage-induced reactivation of cohesin in postreplicative DNA repair
34420582	0.0000000156855	12:32:858	2001	4	Replication-related activities establish cohesion between sister chromatids
34626421	0.00000000869022	12:32:967	2003	4	Stable propagation of ‘selfish’ genetic elements
34724771	0.0000000345233	2:40578:1	1999	4	The budding yeast cohesin gene \n <i>SCC1</i>\n /\n <i>MCD1</i>\n /\n <i>RHC21</i>\n genetically interacts with PKA, CDK and APC
34766514	0.0000000969543	12:32:382	1999	4	The mitotic centromeric protein MEI-S332 and its role in sister-chromatid cohesion
34766528	0.000000195945	28:9:179	2000	4	Sister chromatid cohesion and recombination in meiosis
34766535	0.000000201445	12:32:205	2000	4	Destruction of the securin Pds1p occurs at the onset of anaphase during both meiotic divisions in yeast
34766892	0.000000202215	12:32:200	2007	4	Roles of the sister chromatid cohesion apparatus in gene expression, development, and human syndromes
34766934	0.0000000523729	12:32:548	2007	4	Displacement and re-accumulation of centromeric cohesin during transient pre-anaphase centromere splitting
35260504	0.000000296449	12:32:132	1999	4	Characterization of the components of the putative mammalian sister chromatid cohesion complex
35481057	0.0000000188216	12:32:810	2008	4	The chromosome glue gets a little stickier
35774795	0.0000000101934	12:32:951	2008	4	Perturbation of HP1 localization and chromatin binding ability causes defects in sister-chromatid cohesion
35932343	0.0000000206286	12:32:780	2000	4	Chromosome cohesion: A polymerase for chromosome bridges
